#version = 1
x,y,z,rel_d,rel_sa,w,e,s,n,t,b,w_na,e_na,s_na,n_na,t_na,b_na,pid
-0.1653037896364967,-0.16628227103384371,-0.16560078979260134,0.42552812286774855,3.22070833e-01,-1,3,-1,5,2,-1,0.00000000e+00,1.20429091e-01,0.00000000e+00,1.19305549e-01,1.19580448e-01,0.00000000e+00,1
-0.16529311402960103,-0.16597230343655436,0.16637095715395483,0.424832036583458,3.21772071e-01,-1,4,-1,6,-1,1,0.00000000e+00,1.19157245e-01,0.00000000e+00,1.19608089e-01,0.00000000e+00,1.19580448e-01,1
0.16502974266285358,-0.16617744641508686,-0.1656919490443108,0.4251091116287871,3.21811369e-01,1,-1,-1,7,4,-1,1.20429091e-01,0.00000000e+00,0.00000000e+00,1.19696728e-01,1.19167308e-01,0.00000000e+00,1
0.1658185239166021,-0.16534806255887843,0.1663754025056128,0.42456849499874694,3.21709928e-01,2,-1,-1,8,-1,3,1.19157245e-01,0.00000000e+00,0.00000000e+00,1.19208886e-01,0.00000000e+00,1.19167308e-01,1
-0.1649334529347204,0.16600155734227223,-0.1656608736069871,0.42511682482168534,3.21797401e-01,-1,7,1,-1,6,-1,0.00000000e+00,1.20634162e-01,1.19305549e-01,0.00000000e+00,1.19345598e-01,0.00000000e+00,1
-0.16590437754046722,0.16487322944464708,0.16659636181417542,0.4251522673072021,3.21748078e-01,-1,8,2,-1,-1,5,0.00000000e+00,1.19347617e-01,1.19608089e-01,0.00000000e+00,0.00000000e+00,1.19345598e-01,1
0.16540376700282827,0.16579583478193935,-0.1658230933902308,0.42608724261863196,3.22041722e-01,5,-1,3,-1,8,-1,1.20634162e-01,0.00000000e+00,1.19696728e-01,0.00000000e+00,1.19748525e-01,0.00000000e+00,1
0.16523889870535866,0.1657850474435508,0.16633392805242223,0.42481481299340224,3.21737132e-01,6,-1,4,-1,-1,7,1.19347617e-01,0.00000000e+00,1.19208886e-01,0.00000000e+00,0.00000000e+00,1.19748525e-01,1
-0.0002025695374812803,-0.0012780372861680592,-0.3123699036743929,0.374038618348495,3.80171389e-01,-1,-1,-1,-1,2,-1,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.38170679e-01,0.00000000e+00,2
0.0003577872649292329,0.00045441017419350503,-0.1080929928203944,0.3846945241335536,2.86505902e-01,-1,-1,-1,-1,3,1,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.38249205e-01,1.38170679e-01,2
-0.00019924004454486966,0.0004104475129496433,0.10721191022164916,0.3842283129717461,2.86110544e-01,-1,-1,-1,-1,4,2,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.37166214e-01,1.38249205e-01,2
2.9205107718205736e-05,0.00033771902491300845,0.3127887181218239,0.3744221963932162,3.82063368e-01,-1,-1,-1,-1,-1,3,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.37166214e-01,2
