#version = 1
x,y,z,rel_d,rel_sa,w,e,s,n,t,b,w_na,e_na,s_na,n_na,t_na,b_na,pid
-0.2495957087502938,-0.24959571139346903,-0.10312045253519177,0.2645277307644123,1.18528219e-01,-1,3,-1,7,2,-1,0.00000000e+00,5.80156268e-02,0.00000000e+00,5.80156244e-02,4.67245503e-02,0.00000000e+00,1
-0.24959571139346923,-0.24959570875029355,0.10312045253519171,0.26452773076441227,1.18528219e-01,-1,4,-1,8,-1,1,0.00000000e+00,5.80156244e-02,0.00000000e+00,5.80156268e-02,0.00000000e+00,4.67245503e-02,1
-8.204183178261423e-10,-0.28465790409881264,-0.10695213890257119,0.3276265570918314,1.41561718e-01,1,5,-1,9,4,-1,5.80156268e-02,5.80156244e-02,0.00000000e+00,6.71514094e-02,8.52744017e-02,0.00000000e+00,1
8.204183482817507e-10,-0.28465790409881264,0.10695213890257121,0.3276265570918314,1.41561718e-01,2,6,-1,10,-1,3,5.80156244e-02,5.80156268e-02,0.00000000e+00,6.71514094e-02,0.00000000e+00,8.52744017e-02,1
0.24959571139346926,-0.24959570875029366,-0.10312045253519173,0.2645277307644123,1.18528219e-01,3,-1,-1,11,6,-1,5.80156244e-02,0.00000000e+00,0.00000000e+00,5.80156268e-02,4.67245503e-02,0.00000000e+00,1
0.24959570875029374,-0.2495957113934689,0.10312045253519174,0.2645277307644123,1.18528219e-01,4,-1,-1,12,-1,5,5.80156268e-02,0.00000000e+00,0.00000000e+00,5.80156244e-02,0.00000000e+00,4.67245503e-02,1
-0.28465790409881264,8.204183096142478e-10,-0.10695213890257126,0.3276265570918314,1.41561718e-01,-1,9,1,13,8,-1,0.00000000e+00,6.71514094e-02,5.80156244e-02,5.80156268e-02,8.52744017e-02,0.00000000e+00,1
-0.2846579040988127,-8.204183541157333e-10,0.10695213890257124,0.3276265570918314,1.41561718e-01,-1,10,2,14,-1,7,0.00000000e+00,6.71514094e-02,5.80156268e-02,5.80156244e-02,0.00000000e+00,8.52744017e-02,1
1.6589916854469382e-17,-2.0095561960588953e-17,-0.11203713952618394,0.33762256582979744,8.98791950e-02,7,11,3,15,10,-1,6.71514094e-02,6.71514094e-02,6.71514094e-02,6.71514094e-02,8.98785759e-02,0.00000000e+00,1
9.898994132020382e-18,-1.0477360547068515e-17,0.11203713952618395,0.3376225658297973,8.98791950e-02,8,12,4,16,-1,9,6.71514094e-02,6.71514094e-02,6.71514094e-02,6.71514094e-02,0.00000000e+00,8.98785759e-02,1
0.28465790409881264,-8.204183541157332e-10,-0.10695213890257124,0.3276265570918314,1.41561718e-01,9,-1,5,17,12,-1,6.71514094e-02,0.00000000e+00,5.80156268e-02,5.80156244e-02,8.52744017e-02,0.00000000e+00,1
0.28465790409881253,8.204183096142478e-10,0.10695213890257126,0.3276265570918314,1.41561718e-01,10,-1,6,18,-1,11,6.71514094e-02,0.00000000e+00,5.80156244e-02,5.80156268e-02,0.00000000e+00,8.52744017e-02,1
-0.24959571139346926,0.24959570875029363,-0.10312045253519173,0.2645277307644123,1.18528219e-01,-1,15,7,-1,14,-1,0.00000000e+00,5.80156244e-02,5.80156268e-02,0.00000000e+00,4.67245503e-02,0.00000000e+00,1
-0.24959570875029374,0.2495957113934689,0.10312045253519174,0.2645277307644123,1.18528219e-01,-1,16,8,-1,-1,13,0.00000000e+00,5.80156268e-02,5.80156244e-02,0.00000000e+00,0.00000000e+00,4.67245503e-02,1
8.204183482817507e-10,0.2846579040988127,-0.10695213890257124,0.3276265570918314,1.41561718e-01,13,17,9,-1,16,-1,5.80156244e-02,5.80156268e-02,6.71514094e-02,0.00000000e+00,8.52744017e-02,0.00000000e+00,1
-8.20418324594046e-10,0.28465790409881264,0.10695213890257124,0.3276265570918314,1.41561718e-01,14,18,10,-1,-1,15,5.80156268e-02,5.80156244e-02,6.71514094e-02,0.00000000e+00,0.00000000e+00,8.52744017e-02,1
0.2495957087502938,0.24959571139346903,-0.10312045253519177,0.2645277307644123,1.18528219e-01,15,-1,11,-1,18,-1,5.80156268e-02,0.00000000e+00,5.80156244e-02,0.00000000e+00,4.67245503e-02,0.00000000e+00,1
0.24959571139346923,0.24959570875029355,0.10312045253519173,0.2645277307644123,1.18528219e-01,16,-1,12,-1,-1,17,5.80156244e-02,0.00000000e+00,5.80156268e-02,0.00000000e+00,0.00000000e+00,4.67245503e-02,1
